"","GeneID","Symbol","Description","Synonyms","GeneType","EnsemblGeneID","Status","ChrAcc","ChrStart","ChrStop","Orientation","Length","GOFunctionID","GOProcessID","GOComponentID","GOFunction","GOProcess","GOComponent"
"LOC100506321",100506321,"LOC100506321","uncharacterized LOC100506321","","ncRNA","ENSG00000259118","active","NC_000014.9","65089918","65094311","positive",895,"","","","","",""
"FUT8",2530,"FUT8","fucosyltransferase 8","CDGF|CDGF1","protein-coding","ENSG00000033170","active","NC_000014.9","65410592","65744122","positive",9247,"GO:0005515///GO:0008424///GO:0017124///GO:0046921","GO:0001701///GO:0006487///GO:0006491///GO:0007179///GO:0007229///GO:0007585///GO:0009312///GO:0010468///GO:0010761///GO:0018279///GO:0019082///GO:0036071///GO:0042355///GO:0043112///GO:0046368///GO:1900407","GO:0000139///GO:0005794///GO:0016020///GO:0032580///GO:0070062","protein binding///glycoprotein 6-alpha-L-fucosyltransferase activity///SH3 domain binding///alpha-(1->6)-fucosyltransferase activity","in utero embryonic development///protein N-linked glycosylation///N-glycan processing///transforming growth factor beta receptor signaling pathway///integrin-mediated signaling pathway///respiratory gaseous exchange by respiratory system///oligosaccharide biosynthetic process///regulation of gene expression///fibroblast migration///protein N-linked glycosylation via asparagine///viral protein processing///N-glycan fucosylation///L-fucose catabolic process///receptor metabolic process///GDP-L-fucose metabolic process///regulation of cellular response to oxidative stress","Golgi membrane///Golgi apparatus///membrane///Golgi cisterna membrane///extracellular exosome"
"GPHN",10243,"GPHN","gephyrin","GEPH|GPH|GPHRYN|HKPX1|MOCODC","protein-coding","ENSG00000171723","active","NC_000014.9","66507407","67735831","positive",5505,"GO:0005515///GO:0005524///GO:0008940///GO:0042802///GO:0043546///GO:0046872///GO:0061598///GO:0061599","GO:0006777///GO:0007529///GO:0010038///GO:0018315///GO:0032324///GO:0072579///GO:0097112///GO:0098970","GO:0005737///GO:0005829///GO:0005856///GO:0005886///GO:0014069///GO:0030425///GO:0045211///GO:0097060///GO:0099572///GO:0099634","protein binding///ATP binding///nitrate reductase activity///identical protein binding///molybdopterin cofactor binding///metal ion binding///molybdopterin adenylyltransferase activity///molybdopterin molybdotransferase activity","Mo-molybdopterin cofactor biosynthetic process///establishment of synaptic specificity at neuromuscular junction///response to metal ion///molybdenum incorporation into molybdenum-molybdopterin complex///molybdopterin cofactor biosynthetic process///glycine receptor clustering///gamma-aminobutyric acid receptor clustering///postsynaptic neurotransmitter receptor diffusion trapping","cytoplasm///cytosol///cytoskeleton///plasma membrane///postsynaptic density///dendrite///postsynaptic membrane///synaptic membrane///postsynaptic specialization///postsynaptic specialization membrane"
"PALS1",64398,"PALS1","protein associated with LIN7 1, MAGUK p55 family member","MPP5","protein-coding","ENSG00000072415","active","NC_000014.9","67241395","67336061","positive",6017,"GO:0005515///GO:0005524///GO:0019904///GO:0042802","GO:0002011///GO:0010467///GO:0016332///GO:0017015///GO:0021954///GO:0021987///GO:0032287///GO:0032288///GO:0035750///GO:0045197///GO:0048699///GO:0072659","GO:0005737///GO:0005794///GO:0005886///GO:0005911///GO:0005912///GO:0005923///GO:0016324///GO:0030424///GO:0032991///GO:0033116///GO:0035749///GO:0043204///GO:0043219///GO:0043220///GO:0043296///GO:0070062","protein binding///ATP binding///protein domain specific binding///identical protein binding","morphogenesis of an epithelial sheet///gene expression///establishment or maintenance of polarity of embryonic epithelium///regulation of transforming growth factor beta receptor signaling pathway///central nervous system neuron development///cerebral cortex development///peripheral nervous system myelin maintenance///myelin assembly///protein localization to myelin sheath abaxonal region///establishment or maintenance of epithelial cell apical/basal polarity///generation of neurons///protein localization to plasma membrane","cytoplasm///Golgi apparatus///plasma membrane///cell-cell junction///adherens junction///bicellular tight junction///apical plasma membrane///axon///protein-containing complex///endoplasmic reticulum-Golgi intermediate compartment membrane///myelin sheath adaxonal region///perikaryon///lateral loop///Schmidt-Lanterman incisure///apical junction complex///extracellular exosome"
"ATP6V1D",51382,"ATP6V1D","ATPase H+ transporting V1 subunit D","ATP6M|VATD|VMA8","protein-coding","ENSG00000100554","active","NC_000014.9","67337872","67359804","negative",1599,"GO:0005515///GO:0046961","GO:0007035///GO:0007042///GO:0016241///GO:0048388///GO:0051452///GO:0060271///GO:0061512///GO:0061795///GO:0097401///GO:1902600","GO:0000221///GO:0005765///GO:0005813///GO:0005829///GO:0005886///GO:0005929///GO:0016020///GO:0030665///GO:0033176///GO:0035579///GO:0070062///GO:0098850///GO:1902495///GO:1904949","protein binding///proton-transporting ATPase activity, rotational mechanism","vacuolar acidification///lysosomal lumen acidification///regulation of macroautophagy///endosomal lumen acidification///intracellular pH reduction///cilium assembly///protein localization to cilium///Golgi lumen acidification///synaptic vesicle lumen acidification///proton transmembrane transport","vacuolar proton-transporting V-type ATPase, V1 domain///lysosomal membrane///centrosome///cytosol///plasma membrane///cilium///membrane///clathrin-coated vesicle membrane///proton-transporting V-type ATPase complex///specific granule membrane///extracellular exosome///extrinsic component of synaptic vesicle membrane///transmembrane transporter complex///ATPase complex"
"EIF2S1",1965,"EIF2S1","eukaryotic translation initiation factor 2 subunit alpha","EIF-2|EIF-2A|EIF-2alpha|EIF2|EIF2A","protein-coding","ENSG00000134001","active","NC_000014.9","67360328","67386516","positive",4154,"GO:0003723///GO:0003743///GO:0005515///GO:0043022","GO:0006413///GO:0007568///GO:0032057///GO:0034063///GO:0034198///GO:0034599///GO:0034605///GO:0034644///GO:0034976///GO:0036499///GO:0043558///GO:0046777///GO:1901216///GO:1905098///GO:1990737///GO:2000676","GO:0005634///GO:0005829///GO:0005844///GO:0005850///GO:0005851///GO:0010494///GO:0016020///GO:0033290///GO:0043614///GO:0044207///GO:0045202///GO:0070062///GO:0097451","RNA binding///translation initiation factor activity///protein binding///ribosome binding","translational initiation///aging///negative regulation of translational initiation in response to stress///stress granule assembly///cellular response to amino acid starvation///cellular response to oxidative stress///cellular response to heat///cellular response to UV///response to endoplasmic reticulum stress///PERK-mediated unfolded protein response///regulation of translational initiation in response to stress///protein autophosphorylation///positive regulation of neuron death///negative regulation of guanyl-nucleotide exchange factor activity///response to manganese-induced endoplasmic reticulum stress///positive regulation of type B pancreatic cell apoptotic process","nucleus///cytosol///polysome///eukaryotic translation initiation factor 2 complex///eukaryotic translation initiation factor 2B complex///cytoplasmic stress granule///membrane///eukaryotic 48S preinitiation complex///multi-eIF complex///translation initiation ternary complex///synapse///extracellular exosome///glial limiting end-foot"
"PLEK2",26499,"PLEK2","pleckstrin 2","","protein-coding","ENSG00000100558","active","NC_000014.9","67386984","67412165","negative",1513,"GO:0032266///GO:0043325///GO:0080025","GO:0031532///GO:0035556///GO:0120034","GO:0005737///GO:0005856///GO:0005886///GO:0031258","phosphatidylinositol-3-phosphate binding///phosphatidylinositol-3,4-bisphosphate binding///phosphatidylinositol-3,5-bisphosphate binding","actin cytoskeleton reorganization///intracellular signal transduction///positive regulation of plasma membrane bounded cell projection assembly","cytoplasm///cytoskeleton///plasma membrane///lamellipodium membrane"
"TMEM229B",161145,"TMEM229B","transmembrane protein 229B","C14orf83","protein-coding","ENSG00000198133","active","NC_000014.9","67470266","67533850","negative",4551,"GO:0005515","GO:0009617///GO:0042116","GO:0016020","protein binding","response to bacterium///macrophage activation","membrane"
"PLEKHH1",57475,"PLEKHH1","pleckstrin homology, MyTH4 and FERM domain containing H1","","protein-coding","ENSG00000054690","active","NC_000014.9","67533155","67589766","positive",9392,"","","GO:0005856","","","cytoskeleton"
"PIGH",5283,"PIGH","phosphatidylinositol glycan anchor biosynthesis class H","GPI-H","protein-coding","ENSG00000100564","active","NC_000014.9","67589306","67600302","negative",1562,"GO:0003824///GO:0005515","GO:0006506///GO:0036211","GO:0000506///GO:0005783///GO:0005789","catalytic activity///protein binding","GPI anchor biosynthetic process///protein modification process","glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex///endoplasmic reticulum///endoplasmic reticulum membrane"
"ARG2",384,"ARG2","arginase 2","","protein-coding","ENSG00000081181","active","NC_000014.9","67619920","67651708","positive",1911,"GO:0004053///GO:0005515///GO:0030145","GO:0000050///GO:0001657///GO:0002250///GO:0002829///GO:0006809///GO:0006941///GO:0019547///GO:0032651///GO:0032696///GO:0032700///GO:0032720///GO:0045087///GO:0071641///GO:0071644///GO:0071650///GO:1900425///GO:1903426///GO:1905403///GO:2000562///GO:2000774","GO:0005737///GO:0005739///GO:0005759","arginase activity///protein binding///manganese ion binding","urea cycle///ureteric bud development///adaptive immune response///negative regulation of type 2 immune response///nitric oxide biosynthetic process///striated muscle contraction///arginine catabolic process to ornithine///regulation of interleukin-1 beta production///negative regulation of interleukin-13 production///negative regulation of interleukin-17 production///negative regulation of tumor necrosis factor production///innate immune response///negative regulation of macrophage inflammatory protein 1 alpha production///negative regulation of chemokine (C-C motif) ligand 4 production///negative regulation of chemokine (C-C motif) ligand 5 production///negative regulation of defense response to bacterium///regulation of reactive oxygen species biosynthetic process///negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process///negative regulation of CD4-positive, alpha-beta T cell proliferation///positive regulation of cellular senescence","cytoplasm///mitochondrion///mitochondrial matrix"
"VTI1B",10490,"VTI1B","vesicle transport through interaction with t-SNAREs 1B","VTI1|VTI1-LIKE|VTI1L|VTI2|v-SNARE|vti1-rp1","protein-coding","ENSG00000100568","active","NC_000014.9","67647085","67674632","negative",5142,"GO:0000149///GO:0005484///GO:0005515///GO:0019869","GO:0006886///GO:0006891///GO:0006896///GO:0006904///GO:0006906///GO:0016192///GO:0016236///GO:0042147///GO:0048280///GO:0061025///GO:0097352///GO:1903076","GO:0005576///GO:0005765///GO:0005789///GO:0005794///GO:0005829///GO:0008021///GO:0012507///GO:0031093///GO:0031201///GO:0031901///GO:0031902///GO:0031982///GO:0043025///GO:0043231///GO:0048471///GO:0055037///GO:0055038","SNARE binding///SNAP receptor activity///protein binding///chloride channel inhibitor activity","intracellular protein transport///intra-Golgi vesicle-mediated transport///Golgi to vacuole transport///vesicle docking involved in exocytosis///vesicle fusion///vesicle-mediated transport///macroautophagy///retrograde transport, endosome to Golgi///vesicle fusion with Golgi apparatus///membrane fusion///autophagosome maturation///regulation of protein localization to plasma membrane","extracellular region///lysosomal membrane///endoplasmic reticulum membrane///Golgi apparatus///cytosol///synaptic vesicle///ER to Golgi transport vesicle membrane///platelet alpha granule lumen///SNARE complex///early endosome membrane///late endosome membrane///vesicle///neuronal cell body///intracellular membrane-bounded organelle///perinuclear region of cytoplasm///recycling endosome///recycling endosome membrane"
"RDH11",51109,"RDH11","retinol dehydrogenase 11","ARSDR1|CGI82|HCBP12|MDT1|PSDR1|RALR1|RDJCSS|SCALD|SDR7C1","protein-coding","ENSG00000072042","active","NC_000014.9","67676800","67695764","negative",2539,"GO:0004745///GO:0005515///GO:0016616///GO:0033721///GO:0052650///GO:0102354","GO:0001523///GO:0007601///GO:0016062///GO:0042572///GO:0042574///GO:0110095","GO:0001917///GO:0005789","NAD-retinol dehydrogenase activity///protein binding///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///aldehyde dehydrogenase (NADP+) activity///NADP-retinol dehydrogenase activity///11-cis-retinol dehydrogenase activity","retinoid metabolic process///visual perception///adaptation of rhodopsin mediated signaling///retinol metabolic process///retinal metabolic process///cellular detoxification of aldehyde","photoreceptor inner segment///endoplasmic reticulum membrane"
"ZFYVE26",23503,"ZFYVE26","zinc finger FYVE-type containing 26","FYVE-CENT|SPG15","protein-coding","ENSG00000072121","active","NC_000014.9","67728892","67817293","negative",11529,"GO:0005515///GO:0019901///GO:0032266///GO:0046872","GO:0000281///GO:0000724///GO:0007040///GO:0032465///GO:1905037","GO:0005764///GO:0005765///GO:0005769///GO:0005770///GO:0005813///GO:0030496","protein binding///protein kinase binding///phosphatidylinositol-3-phosphate binding///metal ion binding","mitotic cytokinesis///double-strand break repair via homologous recombination///lysosome organization///regulation of cytokinesis///autophagosome organization","lysosome///lysosomal membrane///early endosome///late endosome///centrosome///midbody"
"RAD51B",5890,"RAD51B","RAD51 paralog B","R51H2|RAD51L1|REC2","protein-coding","ENSG00000182185","active","NC_000014.9","67819779","68683118","positive",9479,"GO:0000400///GO:0003677///GO:0003690///GO:0003697///GO:0005515///GO:0005524///GO:0008094///GO:0140664","GO:0000724///GO:0001832///GO:0006281///GO:0006310///GO:0007131///GO:0008284///GO:0010971///GO:0061053","GO:0005634///GO:0005654///GO:0005657///GO:0033063","four-way junction DNA binding///DNA binding///double-stranded DNA binding///single-stranded DNA binding///protein binding///ATP binding///ATP-dependent activity, acting on DNA///ATP-dependent DNA damage sensor activity","double-strand break repair via homologous recombination///blastocyst growth///DNA repair///DNA recombination///reciprocal meiotic recombination///positive regulation of cell population proliferation///positive regulation of G2/M transition of mitotic cell cycle///somite development","nucleus///nucleoplasm///replication fork///Rad51B-Rad51C-Rad51D-XRCC2 complex"
"ZFP36L1",677,"ZFP36L1","ZFP36 ring finger protein like 1","BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1","protein-coding","ENSG00000185650","active","NC_000014.9","68787655","68796243","negative",4040,"GO:0003677///GO:0003723///GO:0003729///GO:0005515///GO:0035925///GO:0046872///GO:0071889","GO:0000165///GO:0000288///GO:0001570///GO:0003342///GO:0006397///GO:0006915///GO:0007507///GO:0008283///GO:0009611///GO:0010468///GO:0010837///GO:0014065///GO:0021915///GO:0031086///GO:0031440///GO:0032869///GO:0033077///GO:0035264///GO:0038066///GO:0043488///GO:0043491///GO:0044344///GO:0045577///GO:0045600///GO:0045616///GO:0045647///GO:0045657///GO:0045661///GO:0048382///GO:0051028///GO:0060710///GO:0061158///GO:0070371///GO:0071320///GO:0071356///GO:0071364///GO:0071375///GO:0071385///GO:0071456///GO:0071472///GO:0071560///GO:0072091///GO:0097403///GO:1900153///GO:1901991///GO:1902172///GO:1904582","GO:0000932///GO:0005634///GO:0005737///GO:0005829///GO:1990904","DNA binding///RNA binding///mRNA binding///protein binding///mRNA 3'-UTR AU-rich region binding///metal ion binding///14-3-3 protein binding","MAPK cascade///nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///vasculogenesis///proepicardium development///mRNA processing///apoptotic process///heart development///cell population proliferation///response to wounding///regulation of gene expression///regulation of keratinocyte proliferation///phosphatidylinositol 3-kinase signaling///neural tube development///nuclear-transcribed mRNA catabolic process, deadenylation-independent decay///regulation of mRNA 3'-end processing///cellular response to insulin stimulus///T cell differentiation in thymus///multicellular organism growth///p38MAPK cascade///regulation of mRNA stability///protein kinase B signaling///cellular response to fibroblast growth factor stimulus///regulation of B cell differentiation///positive regulation of fat cell differentiation///regulation of keratinocyte differentiation///negative regulation of erythrocyte differentiation///positive regulation of monocyte differentiation///regulation of myoblast differentiation///mesendoderm development///mRNA transport///chorio-allantoic fusion///3'-UTR-mediated mRNA destabilization///ERK1 and ERK2 cascade///cellular response to cAMP///cellular response to tumor necrosis factor///cellular response to epidermal growth factor stimulus///cellular response to peptide hormone stimulus///cellular response to glucocorticoid stimulus///cellular response to hypoxia///cellular response to salt stress///cellular response to transforming growth factor beta stimulus///regulation of stem cell proliferation///cellular response to raffinose///positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///negative regulation of mitotic cell cycle phase transition///regulation of keratinocyte apoptotic process///positive regulation of intracellular mRNA localization","P-body///nucleus///cytoplasm///cytosol///ribonucleoprotein complex"
"ACTN1",87,"ACTN1","actinin alpha 1","BDPLT15","protein-coding","ENSG00000072110","active","NC_000014.9","68874123","68979366","negative",5013,"GO:0003725///GO:0005178///GO:0005509///GO:0005515///GO:0005519///GO:0017166///GO:0019904///GO:0030374///GO:0042803///GO:0044325///GO:0051015///GO:0099186","GO:0007015///GO:0030036///GO:0030168///GO:0030220///GO:0036344///GO:0042981///GO:0045893///GO:0048041///GO:0051017///GO:0051639///GO:0055001///GO:0070527///GO:0099173","GO:0001725///GO:0001726///GO:0005576///GO:0005615///GO:0005634///GO:0005737///GO:0005829///GO:0005884///GO:0005886///GO:0005903///GO:0005911///GO:0005916///GO:0005925///GO:0030018///GO:0030054///GO:0030864///GO:0031093///GO:0031143///GO:0042995///GO:0043197///GO:0070062///GO:0098978","double-stranded RNA binding///integrin binding///calcium ion binding///protein binding///cytoskeletal regulatory protein binding///vinculin binding///protein domain specific binding///nuclear receptor coactivator activity///protein homodimerization activity///transmembrane transporter binding///actin filament binding///structural constituent of postsynapse","actin filament organization///actin cytoskeleton organization///platelet activation///platelet formation///platelet morphogenesis///regulation of apoptotic process///positive regulation of DNA-templated transcription///focal adhesion assembly///actin filament bundle assembly///actin filament network formation///muscle cell development///platelet aggregation///postsynapse organization","stress fiber///ruffle///extracellular region///extracellular space///nucleus///cytoplasm///cytosol///actin filament///plasma membrane///brush border///cell-cell junction///fascia adherens///focal adhesion///Z disc///cell junction///cortical actin cytoskeleton///platelet alpha granule lumen///pseudopodium///cell projection///dendritic spine///extracellular exosome///glutamatergic synapse"
"DCAF5",8816,"DCAF5","DDB1 and CUL4 associated factor 5","BCRG2|BCRP2|D14S1461E|WDR22","protein-coding","ENSG00000139990","active","NC_000014.9","69050881","69153393","negative",8655,"GO:0005515","GO:0016567","GO:0005654///GO:0005737///GO:0080008","protein binding","protein ubiquitination","nucleoplasm///cytoplasm///Cul4-RING E3 ubiquitin ligase complex"
"EXD2",55218,"EXD2","exonuclease 3'-5' domain containing 2","C14orf114|EXDL2","protein-coding","ENSG00000081177","active","NC_000014.9","69191477","69244020","positive",5441,"GO:0000175///GO:0000287///GO:0003676///GO:0005515///GO:0008296///GO:0008310///GO:0008408///GO:0008852///GO:0030145///GO:0042803","GO:0000724///GO:0000729///GO:0006302///GO:0031297///GO:0090305///GO:0090503","GO:0005634///GO:0005737///GO:0005739///GO:0005741///GO:0005759///GO:0045111///GO:0090734","3'-5'-exoribonuclease activity///magnesium ion binding///nucleic acid binding///protein binding///3'-5'-exodeoxyribonuclease activity///single-stranded DNA 3'-5' exodeoxyribonuclease activity///3'-5' exonuclease activity///exodeoxyribonuclease I activity///manganese ion binding///protein homodimerization activity","double-strand break repair via homologous recombination///DNA double-strand break processing///double-strand break repair///replication fork processing///nucleic acid phosphodiester bond hydrolysis///RNA phosphodiester bond hydrolysis, exonucleolytic","nucleus///cytoplasm///mitochondrion///mitochondrial outer membrane///mitochondrial matrix///intermediate filament cytoskeleton///site of DNA damage"
"ERH",2079,"ERH","ERH mRNA splicing and mitosis factor","DROER","protein-coding","ENSG00000100632","active","NC_000014.9","69380128","69398299","negative",791,"GO:0003723///GO:0005515///GO:0008327","GO:0006139///GO:0006213///GO:0007049","GO:0005634///GO:0030496///GO:0034709","RNA binding///protein binding///methyl-CpG binding","nucleobase-containing compound metabolic process///pyrimidine nucleoside metabolic process///cell cycle","nucleus///midbody///methylosome"
"SLC39A9",55334,"SLC39A9","solute carrier family 39 member 9","ZIP-9|ZIP9","protein-coding","ENSG00000029364","active","NC_000014.9","69398374","69462390","positive",5771,"GO:0005515///GO:0022883","GO:0006882///GO:0071577","GO:0005802///GO:0016020","protein binding///zinc efflux transmembrane transporter activity","cellular zinc ion homeostasis///zinc ion transmembrane transport","trans-Golgi network///membrane"
"SUSD6",9766,"SUSD6","sushi domain containing 6","DRAGO|KIAA0247","protein-coding","ENSG00000100647","active","NC_000014.9","69611596","69715144","positive",5390,"GO:0003674///GO:0005515","GO:0006974///GO:0008219","GO:0005575///GO:0016020","molecular_function///protein binding","cellular response to DNA damage stimulus///cell death","cellular_component///membrane"
"LOC100289511",100289511,"LOC100289511","uncharacterized LOC100289511","","ncRNA","","active","NC_000014.9","69766283","69767713","negative",1431,"","","","","",""
"SRSF5",6430,"SRSF5","serine and arginine rich splicing factor 5","HRS|SFRS5|SRP40","protein-coding","ENSG00000100650","active","NC_000014.9","69767112","69772005","positive",2840,"GO:0003723///GO:0003729///GO:0005515///GO:0043422","GO:0000398///GO:0006376///GO:0006397///GO:0032869///GO:0033120///GO:0051726///GO:0097421","GO:0005654///GO:0005730///GO:0005829///GO:0016607","RNA binding///mRNA binding///protein binding///protein kinase B binding","mRNA splicing, via spliceosome///mRNA splice site selection///mRNA processing///cellular response to insulin stimulus///positive regulation of RNA splicing///regulation of cell cycle///liver regeneration","nucleoplasm///nucleolus///cytosol///nuclear speck"
"SLC8A3",6547,"SLC8A3","solute carrier family 8 member A3","NCX3","protein-coding","ENSG00000100678","active","NC_000014.9","70044215","70189626","negative",12759,"GO:0005432///GO:0005516///GO:0046872///GO:0099580","GO:0002244///GO:0006811///GO:0006851///GO:0006874///GO:0007154///GO:0007611///GO:0007612///GO:0007613///GO:0014819///GO:0030001///GO:0035725///GO:0042552///GO:0048709///GO:0050808///GO:0051560///GO:0060291///GO:0070588///GO:0071456///GO:0071901///GO:0098703///GO:0098815///GO:1903779","GO:0005741///GO:0005789///GO:0005886///GO:0014069///GO:0016020///GO:0016528///GO:0030424///GO:0030425///GO:0031594///GO:0042383///GO:0043025///GO:0043197///GO:0043204///GO:0043679///GO:0045202///GO:0048471///GO:0070161///GO:0098794","calcium:sodium antiporter activity///calmodulin binding///metal ion binding///ion antiporter activity involved in regulation of postsynaptic membrane potential","hematopoietic progenitor cell differentiation///ion transport///mitochondrial calcium ion transmembrane transport///cellular calcium ion homeostasis///cell communication///learning or memory///learning///memory///regulation of skeletal muscle contraction///metal ion transport///sodium ion transmembrane transport///myelination///oligodendrocyte differentiation///synapse organization///mitochondrial calcium ion homeostasis///long-term synaptic potentiation///calcium ion transmembrane transport///cellular response to hypoxia///negative regulation of protein serine/threonine kinase activity///calcium ion import across plasma membrane///modulation of excitatory postsynaptic potential///regulation of cardiac conduction","mitochondrial outer membrane///endoplasmic reticulum membrane///plasma membrane///postsynaptic density///membrane///sarcoplasm///axon///dendrite///neuromuscular junction///sarcolemma///neuronal cell body///dendritic spine///perikaryon///axon terminus///synapse///perinuclear region of cytoplasm///anchoring junction///postsynapse"
"SYNJ2BP-COX16",100529257,"SYNJ2BP-COX16","SYNJ2BP-COX16 readthrough","","protein-coding","ENSG00000258644","active","NC_000014.9","70325081","70417090","negative",2027,"","","","","",""
"COX16",51241,"COX16","cytochrome c oxidase assembly factor COX16","C14orf112|HSPC203|MC4DN22|hCOX16","protein-coding","ENSG00000133983","active","NC_000014.9","70325081","70359683","negative",1669,"GO:0003674///GO:0005515","GO:0033617","GO:0005743","molecular_function///protein binding","mitochondrial cytochrome c oxidase assembly","mitochondrial inner membrane"
"SYNJ2BP",55333,"SYNJ2BP","synaptojanin 2 binding protein","ARIP2|OMP25","protein-coding","ENSG00000213463","active","NC_000014.9","70366499","70417090","negative",7057,"GO:0005515","GO:0001937///GO:0006605///GO:0007266///GO:0007268///GO:0008593///GO:0009790///GO:0010596///GO:0016525///GO:0030100///GO:0043113///GO:0045197///GO:0070373///GO:0097120///GO:0098609///GO:1903671","GO:0005739///GO:0005741///GO:0016323///GO:0030054///GO:0031594///GO:0043005///GO:0098839","protein binding","negative regulation of endothelial cell proliferation///protein targeting///Rho protein signal transduction///chemical synaptic transmission///regulation of Notch signaling pathway///embryo development///negative regulation of endothelial cell migration///negative regulation of angiogenesis///regulation of endocytosis///receptor clustering///establishment or maintenance of epithelial cell apical/basal polarity///negative regulation of ERK1 and ERK2 cascade///receptor localization to synapse///cell-cell adhesion///negative regulation of sprouting angiogenesis","mitochondrion///mitochondrial outer membrane///basolateral plasma membrane///cell junction///neuromuscular junction///neuron projection///postsynaptic density membrane"
"MED6",10001,"MED6","mediator complex subunit 6","ARC33|NY-REN-28","protein-coding","ENSG00000133997","active","NC_000014.9","70583221","70600690","negative",2407,"GO:0001223///GO:0003677///GO:0003713///GO:0005515","GO:0006357///GO:0032968///GO:0035019///GO:0045944///GO:0051123///GO:0060261","GO:0005634///GO:0005654///GO:0016020///GO:0016592///GO:0070847","transcription coactivator binding///DNA binding///transcription coactivator activity///protein binding","regulation of transcription by RNA polymerase II///positive regulation of transcription elongation by RNA polymerase II///somatic stem cell population maintenance///positive regulation of transcription by RNA polymerase II///RNA polymerase II preinitiation complex assembly///positive regulation of transcription initiation by RNA polymerase II","nucleus///nucleoplasm///membrane///mediator complex///core mediator complex"
"TTC9",23508,"TTC9","tetratricopeptide repeat domain 9","TTC9A","protein-coding","ENSG00000133985","active","NC_000014.9","70641916","70675366","positive",5094,"","GO:0060348","","","bone development",""
"PCNX1",22990,"PCNX1","pecanex 1","PCNX|PCNXL1|pecanex","protein-coding","ENSG00000100731","active","NC_000014.9","70907443","71115382","positive",13346,"","","GO:0016020","","","membrane"
"SIPA1L1",26037,"SIPA1L1","signal induced proliferation associated 1 like 1","E6TP1|SPAR1","protein-coding","ENSG00000197555","active","NC_000014.9","71320418","71741209","positive",11400,"GO:0003674///GO:0005096///GO:0005515///GO:0046875","GO:0008150///GO:0031532///GO:0043087///GO:0048013///GO:0048167///GO:0048814///GO:0050770///GO:0051056///GO:0061001///GO:0090630","GO:0005737///GO:0005886///GO:0014069///GO:0015629///GO:0043197","molecular_function///GTPase activator activity///protein binding///ephrin receptor binding","biological_process///actin cytoskeleton reorganization///regulation of GTPase activity///ephrin receptor signaling pathway///regulation of synaptic plasticity///regulation of dendrite morphogenesis///regulation of axonogenesis///regulation of small GTPase mediated signal transduction///regulation of dendritic spine morphogenesis///activation of GTPase activity","cytoplasm///plasma membrane///postsynaptic density///actin cytoskeleton///dendritic spine"
"DCAF4",26094,"DCAF4","DDB1 and CUL4 associated factor 4","WDR21|WDR21A","protein-coding","ENSG00000119599","active","NC_000014.9","72926337","72962098","positive",4472,"GO:0005515","GO:0016567","GO:0005654///GO:0080008","protein binding","protein ubiquitination","nucleoplasm///Cul4-RING E3 ubiquitin ligase complex"
"ZFYVE1",53349,"ZFYVE1","zinc finger FYVE-type containing 1","DFCP1|PPP1R172|SR3|TAFF1|ZNFN2A1","protein-coding","ENSG00000165861","active","NC_000014.9","72969445","73027136","negative",4855,"GO:0005515///GO:0005545///GO:0005547///GO:0008270///GO:0032266///GO:0043325","GO:0009267///GO:0016236///GO:0140042","GO:0000407///GO:0005739///GO:0005776///GO:0005783///GO:0005789///GO:0005794///GO:0005795///GO:0005811///GO:0016020///GO:0044233///GO:0048471///GO:0097629///GO:1990462","protein binding///1-phosphatidylinositol binding///phosphatidylinositol-3,4,5-trisphosphate binding///zinc ion binding///phosphatidylinositol-3-phosphate binding///phosphatidylinositol-3,4-bisphosphate binding","cellular response to starvation///macroautophagy///lipid droplet formation","phagophore assembly site///mitochondrion///autophagosome///endoplasmic reticulum///endoplasmic reticulum membrane///Golgi apparatus///Golgi stack///lipid droplet///membrane///mitochondria-associated endoplasmic reticulum membrane///perinuclear region of cytoplasm///extrinsic component of omegasome membrane///omegasome"
"RBM25",58517,"RBM25","RNA binding motif protein 25","NET52|RED120|RNPC7|S164|Snu71|fSAP94","protein-coding","ENSG00000119707","active","NC_000014.9","73058532","73123899","positive",7261,"GO:0003723///GO:0003729///GO:0005515","GO:0000381///GO:0006397///GO:0008380///GO:0042981","GO:0005737///GO:0016607","RNA binding///mRNA binding///protein binding","regulation of alternative mRNA splicing, via spliceosome///mRNA processing///RNA splicing///regulation of apoptotic process","cytoplasm///nuclear speck"
